id,Series_reference,Period,Data_value,Status,Units,Magnitude,Subject,Periodicity,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
238,PTSA.SA01HB1ND,2016.12,,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
183,PTSA.SA01HB1ND,2017.12,4839,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
273,PTSA.SA01HB1ND,2018.12,5007,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
168,PTSA.SA01HB1ND,2019.12,4863,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
561,PTSA.SA01HB1ND,2020.12,5079,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
635,PTSA.SA01HB1ND,2021.12,5463,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
637,PTSA.SA01HB1NJ,2017.06,,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
379,PTSA.SA01HB1NJ,2018.06,4950,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
867,PTSA.SA01HB1NJ,2019.06,4860,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
945,PTSA.SA01HB1NJ,2020.06,4527,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
108,PTSA.SA01HB1NJ,2021.06,6042,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
97,PTSA.SA01HB1NM,2017.03,,P,Number,0,Property transfer statistics - PTS,Annual,Affiliation by region,Northland Region,Home involved,Buyers,At least one NZ citizen,Number of transfers
